filter,entry_k,tp,sl,entered_trades,tp_cnt,sl_cnt,winrate,EV,ambig_same_min,none_after_entry,no_entry,no_minute_skipped
NO_FILTER,0.95,0.09,0.03,0,0,0,0.0,,0,0,0,0
gap<25,0.95,0.09,0.03,0,0,0,0.0,,0,0,0,0
gap<20,0.95,0.09,0.03,0,0,0,0.0,,0,0,0,0
gap<15,0.95,0.09,0.03,0,0,0,0.0,,0,0,0,0
NO_FILTER,0.95,0.09,0.04,0,0,0,0.0,,0,0,0,0
gap<25,0.95,0.09,0.04,0,0,0,0.0,,0,0,0,0
gap<20,0.95,0.09,0.04,0,0,0,0.0,,0,0,0,0
gap<15,0.95,0.09,0.04,0,0,0,0.0,,0,0,0,0
NO_FILTER,0.95,0.09,0.05,0,0,0,0.0,,0,0,0,0
gap<25,0.95,0.09,0.05,0,0,0,0.0,,0,0,0,0
gap<20,0.95,0.09,0.05,0,0,0,0.0,,0,0,0,0
gap<15,0.95,0.09,0.05,0,0,0,0.0,,0,0,0,0
NO_FILTER,0.95,0.09,0.06,0,0,0,0.0,,0,0,0,0
gap<25,0.95,0.09,0.06,0,0,0,0.0,,0,0,0,0
gap<20,0.95,0.09,0.06,0,0,0,0.0,,0,0,0,0
gap<15,0.95,0.09,0.06,0,0,0,0.0,,0,0,0,0
NO_FILTER,0.95,0.1,0.03,0,0,0,0.0,,0,0,0,0
gap<25,0.95,0.1,0.03,0,0,0,0.0,,0,0,0,0
gap<20,0.95,0.1,0.03,0,0,0,0.0,,0,0,0,0
gap<15,0.95,0.1,0.03,0,0,0,0.0,,0,0,0,0
NO_FILTER,0.95,0.1,0.04,0,0,0,0.0,,0,0,0,0
gap<25,0.95,0.1,0.04,0,0,0,0.0,,0,0,0,0
gap<20,0.95,0.1,0.04,0,0,0,0.0,,0,0,0,0
gap<15,0.95,0.1,0.04,0,0,0,0.0,,0,0,0,0
NO_FILTER,0.95,0.1,0.05,0,0,0,0.0,,0,0,0,0
gap<25,0.95,0.1,0.05,0,0,0,0.0,,0,0,0,0
gap<20,0.95,0.1,0.05,0,0,0,0.0,,0,0,0,0
gap<15,0.95,0.1,0.05,0,0,0,0.0,,0,0,0,0
NO_FILTER,0.95,0.1,0.06,0,0,0,0.0,,0,0,0,0
gap<25,0.95,0.1,0.06,0,0,0,0.0,,0,0,0,0
gap<20,0.95,0.1,0.06,0,0,0,0.0,,0,0,0,0
gap<15,0.95,0.1,0.06,0,0,0,0.0,,0,0,0,0
